"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1768",298.609632041238,298.068640067361,299.001685194536,300.273043615168,298.670607757568,298.575661399148,298.746298287132,298.922721724077,299.654333704168,298.624381672252,299.893146792325,299.954072501443,297.73671653054,298.96199202104,299.855506134033,298.330173353715,300.302806646174,297.848045487837,298.418279682506,298.68349165483
"1769",299.130911393599,298.436923633922,299.705499406294,300.240534973145,299.048133572665,299.251013599743,299.214880579168,299.227531571822,300.088938626376,299.401629361239,299.651371695779,299.760241629861,298.404856387052,298.576939600164,299.997368344394,298.658514404297,300.094423883612,298.670598394221,298.858370555531,299.105300487172
"1770",299.432651935924,298.676586567272,299.919577373158,299.6595732949,299.12840832797,299.305193814364,299.63276089755,299.465679238059,300.223068584095,299.636949851296,298.756865067915,299.613439663974,298.43066850142,298.103875593706,300.042360201749,298.95242059881,299.794239182906,299.30088820024,299.130485049161,299.274413507635
"1771",299.25055326982,298.346502408114,299.851543357156,299.054578191584,298.724271739613,298.866950433904,299.705195132169,299.09883221713,300.156012309681,299.239127211137,297.305188126998,298.909252166748,298.435941869562,297.376774389094,299.967060297186,297.944151999734,298.602670634877,299.441283902255,299.418401960893,299.178059387207
"1772",298.570525845614,297.951046683572,299.391603504528,297.361122824929,297.680465351452,297.823586550626,298.624980926514,298.446487634832,299.583840179443,298.30772115534,296.131673431397,296.527045995539,297.561154660312,296.384255218506,298.296782476252,296.858148886941,296.917290150036,298.888677701083,299.105962302468,298.540358456698
"1773",298.175703152743,297.150861566717,298.688932245428,296.401803172718,296.886486608332,297.317828715931,297.618679254705,298.016262956099,298.675545571067,297.641937394576,295.667446968772,295.900737415661,296.358292042125,295.966017705744,297.884960729426,296.089045992765,296.626653914018,298.450246498802,298.591807348078,297.951467687433
"1774",297.863895554976,296.37622978904,298.431078546697,295.82171346491,296.398583984375,296.948028841886,296.922460868142,297.116044339267,298.758651386608,297.30169060447,295.537555972013,295.34430659901,296.523435003107,295.469725105979,297.940000984886,294.98618739735,296.600140797008,297.8932932767,298.39773420854,297.693279682506
"1775",298.097850868919,296.410623931885,298.401766066118,295.979123340953,296.2284034729,296.677069507946,297.792194851962,296.811530165239,298.890771345659,297.556343841553,295.905501556396,295.694136255438,296.332143818248,295.095441783558,297.549754749645,294.816309911555,296.111069974032,298.597874034535,298.656262276389,297.796639875932
"1776",298.77791408192,296.542231334339,298.962982732599,296.221762293035,296.528030603582,297.044372281161,297.583048872514,296.880535541881,299.522596948797,298.311593489213,296.35739142678,295.89889013117,296.252323636142,295.581393571333,298.074889512496,295.484947482022,296.624248019132,298.797816259211,298.985481192849,298.150569915771
"1777",299.292239934748,296.677806368741,299.616395360773,296.31639695601,296.54018311934,297.359146603671,297.734154926647,297.046860850941,299.7671904824,298.082248410312,296.479300134832,296.042516534979,295.911467188055,295.942285294966,298.326526433771,295.842704772949,296.632934917103,299.110199668191,299.634703063965,298.481939558549
