"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"34",297.664293878729,297.227863935991,296.286384651878,296.927395491167,296.413486272639,294.306765122847,296.507736414129,297.009757787531,295.518147277832,296.616245408492,296.147263336182,296.985696965998,296.396202503551,297.727334594727,298.495881514116,296.56895495328,296.502476501465,296.729544414173,296.265737776323,296.61971803145
"35",297.772446857799,297.231961267645,296.413296508789,296.737046328458,296.691308177601,294.762716397372,296.519417155873,297.031101018732,295.517258661444,296.281276772239,295.840284937078,296.940510489724,296.924463584206,298.025184423273,298.031544009122,296.943186673251,296.27065818093,296.537375779585,296.307246329568,296.436138153076
"36",298.161274233731,297.68837072199,296.500544114546,296.906579867276,296.974765361439,294.523094662753,296.579244787043,297.586723535711,295.770724348588,296.747126492587,296.136379241943,297.067085682262,297.447720753063,298.482309861617,298.594003503973,297.069397388805,296.701169447465,297.071259030429,296.456673015248,296.446345728094
"37",298.47212302468,297.717091300271,296.63165734031,296.875815998424,297.317477694425,294.874604866721,297.008311947909,297.620731769909,295.920685854825,296.97912126021,296.454512925582,297.099208901145,297.616654760187,298.975769459118,299.073270069469,297.471307511763,297.291802839799,297.261221660267,296.843509257923,296.549845123291
"38",298.505692360618,298.024124769731,297.103508273038,297.550041337447,297.855788005482,295.567499126088,297.650150715221,297.927682841908,296.390525679155,297.284998945756,297.090923656117,297.523218883168,297.922515314276,299.19233786843,299.293594915217,297.811716183749,297.542602192272,297.628440024636,297.173820356889,296.959908155961
"39",298.443241743608,298.374203629927,297.683803142201,298.286141898415,298.460676505349,296.251031008634,298.261708068848,298.18891955289,297.001266895641,297.884288510409,297.609469396418,297.518356808749,298.470961622758,299.350386949019,299.113817527077,298.158857241544,297.781791409579,297.859277413108,297.416038513184,297.208199934526
"40",298.935345042836,298.655898770419,298.109878540039,298.863644270463,298.941126181863,296.84362002286,298.493594082919,298.745769708807,297.443829761852,298.51023164229,297.997158466686,297.818652135676,299.092571119829,299.428918248957,298.724893882058,298.806430955367,298.253824268688,298.264762600985,298.114895075018,297.66811578924
"41",299.188497855447,299.378721479936,298.732444485751,299.509841156006,299.5435806968,297.383981878107,299.185809326172,299.173631980202,298.064379119873,299.137166526101,298.62554619529,298.675632754239,299.487075528232,299.700210293857,298.755587907271,299.280201721191,298.748866688121,298.652014229514,298.880534917658,298.223612698642
"42",299.178682570024,299.832206934149,298.986078158292,299.849739768288,299.7396254106,297.70062047785,299.629696932706,298.969473405318,298.371926879883,299.360955602472,299.241129857844,298.426623049649,299.772029321844,299.54340466586,297.749053469571,299.572074543346,299.006661501798,298.716060777144,299.194553930109,298.497236355868
"43",298.14835544933,299.851761973988,298.774891454523,299.796871254661,299.358369029652,297.895347179066,299.227507990057,298.618693958629,298.161763069846,299.164171114835,299.089193309437,298.537826538086,299.411490284313,298.853838695179,296.657892747359,299.306884904341,298.431745425138,298.55230400779,299.001475455544,298.296913840554
"44",297.181217748469,298.797170049494,298.299841932817,298.98285224221,298.425647111373,297.461163122004,298.102891263095,297.974305447665,297.129698111794,297.84598978216,298.225660011985,297.818319910223,298.225409143621,297.66357088956,295.765837097168,298.489881272749,297.678633117676,298.030714693936,297.957298694957,297.887676863237
"45",296.062776322798,298.08189572421,297.104387456721,298.502974146063,297.771705072576,296.857452461936,297.535211389715,297.164802343195,296.396719707142,297.130804096569,297.226000421697,297.10131780451,297.392399458452,296.618006827615,295.190276128596,297.812583853982,296.501795543324,297.08232754794,296.818166004528,296.78188753995
"46",295.743087976629,298.139045854048,296.602933640914,298.491890231046,297.532008431175,296.467004255815,296.928016385165,296.825583579324,295.979908266935,296.796850794012,297.092017850009,296.452410056374,297.008055392179,296.306481864236,294.749135867032,297.236645785245,295.604149766402,296.310613874956,296.351838822798,296.033486661044
"47",296.098739624023,297.930063213002,296.585945545543,299.079322468151,297.928664120761,296.448726862127,297.096106511896,296.700714388761,295.746376453746,296.744076191295,297.07216907848,296.168736821955,297.075093147971,296.400960055265,294.577273767645,297.278587202592,295.895380332253,296.284059906006,296.489418654008,296.592952173406
"48",296.300863508745,298.363865730979,296.948064491966,299.498876675692,298.333340315385,296.77023044933,297.144607474587,297.299749339711,296.164764057506,297.118915141713,297.087393743342,296.745507118919,297.186102572354,296.625936404141,294.865900213068,297.711904907227,296.297397682884,296.621226085316,297.033304526589,296.706521883878
"49",295.858327345415,298.393252563477,297.071251262318,299.872965309837,298.585332558372,297.134177537398,297.226612299139,297.566608775746,296.45068248402,297.395446361195,297.512747747248,296.980841133811,297.578595248136,296.787698364258,295.377043984153,297.991467840021,296.456785930287,296.634510733865,297.453777451949,297.00817600597
"50",296.340328008478,298.600141005083,297.659762018377,300.03272115534,299.088708912243,297.415371426669,297.033263050426,297.778763164173,296.909450045499,297.629294586182,297.94864730835,297.462132263184,297.755376781117,297.478552870317,296.015534626354,298.3005398837,296.938420035622,297.113823422519,297.66552734375,297.580629868941
"51",296.922295240922,298.952032609419,298.193393568559,300.043969865279,299.221279144287,297.762723055753,298.03949210427,298.487805383856,297.686676927046,298.3753936074,298.374572060325,298.142999891801,298.001649544456,297.742138533159,296.474754957719,298.85064572421,297.664119026878,297.883545060591,298.18845575506,298.052621321245
"52",297.396259932084,299.107057814165,298.587622070312,300.168135764382,299.310174421831,298.582408558239,298.411520247026,299.153876634078,297.958280667392,298.700521018288,298.738720911199,298.683560458097,298.333803350275,298.054107943448,297.309065940163,299.130411598899,298.125481068004,298.611282626065,298.743659903786,298.593952248313
